epoch,loss,acc
1,0.7310832253478983,0.4949944382647386
2,0.7005199104816389,0.5064886911383019
3,0.7011325409217606,0.49660116178469904
4,0.6980503065125518,0.49845507353849955
5,0.698070196908862,0.5047583735014214
6,0.6946332705815044,0.5146459028550241
7,0.6951882048378679,0.5053763440860215
8,0.694609675997047,0.5035224323322209
9,0.6943450172447536,0.503769620566061
10,0.6943141004385339,0.4985786676554196
11,0.6944715176387736,0.49338771474477816
12,0.6942125712892591,0.5004325794092201
13,0.6937050703664804,0.496477567667779
14,0.6941613287982297,0.49511803238165863
15,0.69422759507793,0.4859720677295761
16,0.6942448339773453,0.48918551476949695
17,0.6934889462303281,0.5041404029168212
18,0.6943857854810255,0.4953652206154987
19,0.6932416782952581,0.5113088616981831
20,0.69379287823333,0.49623037943393894
21,0.6939568031542882,0.4998146088246199
22,0.6944016814600211,0.5062415029044618
23,0.6943701756352652,0.49066864417253736
24,0.6940941111205491,0.48918551476949695
25,0.693724271843304,0.5090841675936225
26,0.6936840450803483,0.5074774440736621
27,0.693968785868456,0.49808429118773945
28,0.693771064539301,0.5001853911753801
29,0.6933071865476764,0.5027808676307007
30,0.6938437040517216,0.49066864417253736
31,0.6937093072762052,0.503398838215301
32,0.6935118805520866,0.4982078853046595
33,0.6938475045752959,0.4994438264738598
34,0.6936719570211775,0.5035224323322209
35,0.6935609652606802,0.5068594734890619
36,0.6935718542137778,0.4990730441230997
37,0.6935132982011573,0.5027808676307007
38,0.6937734771756097,0.5066122852552218
39,0.6935325753053796,0.4967247559016191
40,0.6935910724279333,0.4896798912371771
41,0.693597307297727,0.4994438264738598
42,0.6933994697870305,0.5052527499691015
43,0.6935127143541029,0.5040168087999011
44,0.6936559345618769,0.4917809912248177
45,0.6933801221237564,0.5047583735014214
46,0.6935843883611528,0.4972191323692992
47,0.6936525050884507,0.48770238536645655
48,0.6932429103824208,0.5062415029044618
49,0.6931182176423536,0.5026572735137808
50,0.6937468940344482,0.4896798912371771
51,0.6934357480129991,0.5014213323445804
52,0.6932189750768628,0.5089605734767025
53,0.6935805180299387,0.5001853911753801
54,0.6933359404957466,0.5040168087999011
55,0.6933276090393873,0.49697194413545914
56,0.6936278809076069,0.49190458534173775
57,0.6934348293382708,0.4983314794215795
58,0.6934929836843913,0.49660116178469904
59,0.6933801056810959,0.5014213323445804
60,0.6934717989663319,0.48523050302805587
61,0.6934013299661489,0.4905450500556173
62,0.6935116152226476,0.5041404029168212
63,0.6934982788546568,0.49487084414781857
64,0.6931656146576961,0.4979606970708194
65,0.6933699162409194,0.49919663824001975
66,0.6933632609045943,0.5094549499443827
67,0.6933265871928569,0.4949944382647386
68,0.693104971001785,0.5068594734890619
69,0.693561220527093,0.4949944382647386
70,0.6931968757431729,0.5063650970213818
71,0.693329754777132,0.5056235323198616
72,0.6932824187955903,0.5032752440983809
73,0.6933959838472092,0.5003089852923001
74,0.6929868207610209,0.5077246323075022
75,0.6934354424240886,0.49598319120009887
76,0.6934432459251796,0.4932641206278581
77,0.6931139868470592,0.5040168087999011
78,0.6936088070308392,0.49956742059077985
79,0.6933159403785641,0.4987022617723396
80,0.693421066094647,0.5058707205537016
81,0.6932328710257234,0.5080954146582622
82,0.6933184110945934,0.5030280558645408
83,0.6932639326039711,0.49882585588925965
84,0.6933237787982086,0.5062415029044618
85,0.6935628709370533,0.4905450500556173
86,0.6933455881311018,0.4890619206525769
87,0.6932517272582411,0.4949944382647386
88,0.6932819176848806,0.50006179705846
89,0.6931603171079596,0.5119268322827834
90,0.6933656872283865,0.5011741441107403
91,0.6936223031622623,0.4987022617723396
92,0.6932941628775422,0.4907922382894574
93,0.6933268978869483,0.496477567667779
94,0.6935832985560453,0.5063650970213818
95,0.6932387272796824,0.4968483500185391
96,0.6932895852982843,0.49808429118773945
97,0.6933425175599978,0.4910394265232975
98,0.6934336886655237,0.4983314794215795
99,0.6932742953182608,0.5047583735014214
100,0.6932127196242762,0.5025336793968607
101,0.6931496634867589,0.5083426028921023
102,0.6931496350951756,0.5056235323198616
103,0.6934100630742749,0.496353973550859
104,0.6935073045714207,0.5024100852799407
105,0.6932611725133218,0.49585959708317884
106,0.6932471675508,0.5008033617599802
107,0.6933797734833635,0.5017921146953405
108,0.6932195919123735,0.5029044617476208
109,0.6932805957082263,0.4968483500185391
110,0.693257377927375,0.5022864911630206
111,0.6933012968485206,0.49487084414781857
112,0.6931879102940642,0.5050055617352615
113,0.6932689135809231,0.49363490297861823
114,0.6932813375064844,0.49363490297861823
115,0.6933280523208469,0.4972191323692992
116,0.6931678622117547,0.5088369793597824
117,0.6933344936005457,0.49919663824001975
118,0.6932315645929822,0.4942528735632184
119,0.693229055982219,0.50006179705846
120,0.6932900650232217,0.49264615004325796
121,0.6929536381974206,0.517735755778025
122,0.6933770640393503,0.5016685205784205
123,0.6932270707593184,0.5012977382276603
124,0.6932360947964558,0.49511803238165863
125,0.6932823759282775,0.49190458534173775
126,0.6932909080263505,0.5026572735137808
127,0.6931833408182682,0.5098257322951427
128,0.6932632664257451,0.4994438264738598
129,0.6932090766688328,0.4982078853046595
130,0.693209455881377,0.5019157088122606
131,0.693238094996027,0.5025336793968607
132,0.6932794294506404,0.489309108886417
133,0.6932209326301247,0.5066122852552218
134,0.6934434106464572,0.49956742059077985
135,0.6932595477471347,0.4996910147076999
136,0.6932256180296249,0.4967247559016191
137,0.6933024519085957,0.4978371029538994
138,0.6931988744325536,0.5045111852675812
139,0.6931557637948864,0.5068594734890619
140,0.6932183548378983,0.50006179705846
141,0.6932121369043397,0.49524162649857867
142,0.6932388640145497,0.49993820294153996
143,0.6934306864287028,0.5010505499938203
144,0.6932112924278542,0.49338771474477816
145,0.6931995764870149,0.5041404029168212
146,0.6932009328665478,0.5004325794092201
